Id,Watermark,ConversationId,Activity,ActivityContent,CreateDate
11303,9,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""cca0d903-3ef4-4b0b-a8f0-e8c7a785d7c0"",""label"":""start_flow 'Flow_b3fa554a-626e-4270-96eb-579750c45159' "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""start_flow"",""Message"":"""",""Timestamp"":""2020-09-15T09:32:04.6693202Z""},""name"":""botflow_trace.start_flow"",""id"":""993b7dd8-8734-485c-9241-f69a6d990347"",""timestamp"":""2020-09-15T09:32:04.670Z""}",1,32:04.0
11304,8,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""message"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""attachmentLayout"":""list"",""text"":"""",""inputHint"":""acceptingInput"",""attachments"":[{""contentType"":""application/vnd.microsoft.card.hero"",""content"":{""title"":""我很忙的喔，快用一句話來描述您的問題"",""subtitle"":""（例：勞工舊制退休金如何計算?）"",""text"":""或點選以下常見問題分類："",""images"":[{""url"":""https://i.pinimg.com/originals/34/46/40/344640f515242e9b3d847dfeb26a29cf.gif""}],""buttons"":[{""type"":""imBack"",""title"":""薪資相關"",""value"":""薪資相關""},{""type"":""imBack"",""title"":""差勤相關"",""value"":""差勤相關""},{""type"":""imBack"",""title"":""考績相關"",""value"":""考績相關""},{""type"":""imBack"",""title"":""離職相關"",""value"":""離職相關""}]}}],""entities"":[],""replyToId"":""cca0d903-3ef4-4b0b-a8f0-e8c7a785d7c0"",""id"":""f3af092f-65d3-4661-a23b-d60e090a3fdd"",""timestamp"":""2020-09-15T09:32:04.682Z""}",5,32:04.0
11305,8,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""cca0d903-3ef4-4b0b-a8f0-e8c7a785d7c0"",""label"":""start_node 'Node_1qgfeqr6n3' [Flow_b3fa554a-626e-4270-96eb-579750c45159] "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""start_node"",""Message"":"""",""Timestamp"":""2020-09-15T09:32:04.6741875Z""},""name"":""botflow_trace.start_node"",""id"":""3188fb9b-3fc4-4a14-8138-328db2412100"",""timestamp"":""2020-09-15T09:32:04.676Z""}",1,32:04.0
11306,8,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""cca0d903-3ef4-4b0b-a8f0-e8c7a785d7c0"",""label"":""wait 'Node_1qgfeqr6n3' [Flow_b3fa554a-626e-4270-96eb-579750c45159] "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""wait"",""Message"":"""",""Timestamp"":""2020-09-15T09:32:04.685022Z""},""name"":""botflow_trace.wait"",""id"":""f29346e4-5428-495f-a83e-738e6883425f"",""timestamp"":""2020-09-15T09:32:04.688Z""}",1,32:04.0
11321,11,cb927417-7592-4e72-8367-98f9edc6b508,"{""from"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""membersAdded"":[{""id"":""b43b416ce78448a148890fcf35cc924b""}],""type"":""conversationUpdate"",""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""hr_bot"",""name"":""hr_bot""},""channelId"":""webchat"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""id"":""fc61f034-356e-43a9-aea9-8d3abd738c7a"",""timestamp"":""2020-09-15T09:37:13.457Z""}",2,37:13.0
11322,12,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""fc61f034-356e-43a9-aea9-8d3abd738c7a"",""label"":""start_event 'Greeting' "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""start_event"",""Message"":"""",""Timestamp"":""2020-09-15T09:37:14.0596799Z""},""name"":""botflow_trace.start_event"",""id"":""2a3ea3e8-6da7-48d2-a8f2-4192dfb4c0c0"",""timestamp"":""2020-09-15T09:37:14.064Z""}",1,37:14.0
11323,13,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""fc61f034-356e-43a9-aea9-8d3abd738c7a"",""label"":""end_event 'Greeting' "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""end_event"",""Message"":"""",""Timestamp"":""2020-09-15T09:37:14.0682524Z""},""name"":""botflow_trace.end_event"",""id"":""f474198b-e01d-4b69-9f24-e51a7c7f87bf"",""timestamp"":""2020-09-15T09:37:14.069Z""}",1,37:14.0
11324,14,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""fc61f034-356e-43a9-aea9-8d3abd738c7a"",""label"":""start_flow 'Flow_b3fa554a-626e-4270-96eb-579750c45159' "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""start_flow"",""Message"":"""",""Timestamp"":""2020-09-15T09:37:14.0745511Z""},""name"":""botflow_trace.start_flow"",""id"":""0f558d99-9b69-4cf8-92c8-4886ecdcf984"",""timestamp"":""2020-09-15T09:37:14.078Z""}",1,37:14.0
11325,14,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""message"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""attachmentLayout"":""list"",""text"":"""",""inputHint"":""acceptingInput"",""attachments"":[{""contentType"":""application/vnd.microsoft.card.hero"",""content"":{""title"":""我很忙的喔，快用一句話來描述您的問題"",""subtitle"":""（例：勞工舊制退休金如何計算?）"",""text"":""或點選以下常見問題分類："",""images"":[{""url"":""https://i.pinimg.com/originals/34/46/40/344640f515242e9b3d847dfeb26a29cf.gif""}],""buttons"":[{""type"":""imBack"",""title"":""薪資相關"",""value"":""薪資相關""},{""type"":""imBack"",""title"":""差勤相關"",""value"":""差勤相關""},{""type"":""imBack"",""title"":""考績相關"",""value"":""考績相關""},{""type"":""imBack"",""title"":""離職相關"",""value"":""離職相關""}]}}],""entities"":[],""replyToId"":""fc61f034-356e-43a9-aea9-8d3abd738c7a"",""id"":""dc011860-7c00-4edb-a57b-ac65c2e0b4b4"",""timestamp"":""2020-09-15T09:37:14.098Z""}",5,37:14.0
11326,15,cb927417-7592-4e72-8367-98f9edc6b508,"{""type"":""trace"",""serviceUrl"":""http://hrbotsrvrt.taishinbank.com.tw/productionLDL"",""channelId"":""webchat"",""from"":{""id"":""hr_bot"",""name"":""Bot""},""conversation"":{""id"":""cb927417-7592-4e72-8367-98f9edc6b508""},""recipient"":{""id"":""b43b416ce78448a148890fcf35cc924b"",""name"":""ooo""},""replyToId"":""fc61f034-356e-43a9-aea9-8d3abd738c7a"",""label"":""start_node 'Node_1qgfeqr6n3' [Flow_b3fa554a-626e-4270-96eb-579750c45159] "",""valueType"":""TraceData"",""value"":{""Level"":""Trace"",""ActionType"":""start_node"",""Message"":"""",""Timestamp"":""2020-09-15T09:37:14.082537Z""},""name"":""botflow_trace.start_node"",""id"":""17a6e069-31d7-44f8-b169-a6053e192f28"",""timestamp"":""2020-09-15T09:37:14.087Z""}",1,37:14.0
